sampleid,czb_id,sample_type,henipavirus,roost_site,latitude_s,longitude_e,collection_date,bat_species,bat_sex,unique_tag_id,recap,bat_age_class,notes
MIZ396,RR034B_490_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/24/19,Rousettus madagascariensis,male,,no,A,
MIZ400,RR034B_491_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/24/19,Rousettus madagascariensis,female,,no,NL,
MIZ401,RR034B_492_uaRa,urine,0,Maromizaha,-18.9623,48.4525,2/24/19,Rousettus madagascariensis,male,,no,J,
MIZ403,RR034B_493_uaRa,urine,0,Maromizaha,-18.9623,48.4525,4/9/19,Rousettus madagascariensis,male,,no,A,
MIZ405,RR034B_494_uaRa,urine,0,Maromizaha,-18.9623,48.4525,4/9/19,Rousettus madagascariensis,male,,no,A,
MIZ407,RR034B_495_uaRa,urine,0,Maromizaha,-18.9623,48.4525,4/9/19,Rousettus madagascariensis,male,,no,A,
MIZ408,RR034B_496_uaRa,urine,0,Maromizaha,-18.9623,48.4525,4/9/19,Rousettus madagascariensis,male,,no,A,
MLB001,RR034B_497_uaRa,urine,0,Mahialambo,-18.1102,48.2098,12/13/18,Pteropus rufus,female,1366,no,L,
MLB004,RR034B_498_uaRa,urine,0,Mahialambo,-18.1102,48.2098,12/16/18,Pteropus rufus,female,1367,no,NL,
MLB005,RR034B_499_uaRa,urine,0,Mahialambo,-18.1102,48.2098,12/17/18,Pteropus rufus,male,1368,no,A,
MLB006,RR034B_500_uaRa,urine,0,Mahialambo,-18.1102,48.2098,12/18/18,Pteropus rufus,female,1371,no,L,
MLB009,RR034B_501_uaRa,urine,0,Mahialambo,-18.1102,48.2098,12/18/18,Pteropus rufus,male,1370,no,A,
KEL259,RR034B_502_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/8/19,Eidolon dupreanum,female,,no,J,
KEL265,RR034B_503_uaRa,urine,0,AngavoKely,-18.9327,47.7578,1/8/19,Eidolon dupreanum,female,,no,A,
AMB159,RR034B_504_uaRa,urine,0,Ambakoana,-18.513,48.1665,1/6/19,Pteropus rufus,female,1375,no,A,
KEL159,RR034B_505_uaRa,urine,0,AngavoKely,-18.9327,47.7578,2/15/18,Eidolon dupreanum,male,1083,no,J,
